document_id,document_type,source_template,vendor_name,vendor_address,vendor_email,vendor_phone,customer_name,customer_address,invoice_number,invoice_date,due_date,currency,purchase_order,subtotal,tax_rate,tax_amount,discount,shipping,total_amount,payment_terms,notes,expected_text,merchant_name,merchant_address,merchant_phone,receipt_number,transaction_date,transaction_time,payment_method,last_four_digits,cashier
RCT-0010,receipt,receipt_2,,,,,,,,,,USD,,64.84,,3.24,,,68.08,,,"Little Lantern Cafe
Number: RC-2501-5009
Recycled notebooks 2 15.26 30.52
Desk organizer 2 17.16 34.32
Subtotal: 64.84
Tax: 3.24
Total: 68.08",Little Lantern Cafe,"88 Crescent Road, Pinecross, WA 98104",+1 555 509 6009,RC-2501-5009,2025-01-25,13:44,CASH,,Team D
RCT-0011,receipt,receipt_3,,,,,,,,,,USD,,50.18,,3.76,,,53.94,,,"Harbor Basket
Number: RC-2503-5010
Shipping labels 3 12.61 37.83
Desk organizer 1 12.35 12.35
Subtotal: 50.18
Tax: 3.76
Total: 53.94",Harbor Basket,"203 Tide Street, Seacliff, CA 94016",+1 555 510 6010,RC-2503-5010,2025-03-31,20:19,MASTERCARD,7282,Team E
RCT-0012,receipt,receipt_4,,,,,,,,,,USD,,82.2,,4.11,,,86.31,,,"Cobalt Corner Shop
Number: RC-2505-5011
Gel pen set 3 9.76 29.28
Recycled notebooks 4 9.21 36.84
Canvas tote 4 4.02 16.08
Subtotal: 82.20
Tax: 4.11
Total: 86.31",Cobalt Corner Shop,"39 Prism Avenue, Eastmere, IL 60607",+1 555 511 6011,RC-2505-5011,2025-05-22,08:16,MASTERCARD,4812,Team F
RCT-0013,receipt,receipt_1,,,,,,,,,,USD,,59.28,,0.0,,,59.28,,,"Morning Oak Market
Number: RC-2509-5012
Gel pen set 1 10.47 10.47
Desk organizer 2 11.49 22.98
Recycled notebooks 1 12.72 12.72
Canvas tote 1 13.11 13.11
Subtotal: 59.28
Tax: 0.00
Total: 59.28",Morning Oak Market,"15 Orchard Way, Brookfield, VT 05036",+1 555 512 6012,RC-2509-5012,2025-09-13,08:30,MASTERCARD,8101,Team A
RCT-0014,receipt,receipt_2,,,,,,,,,,USD,,122.91,,0.0,,,122.91,,,"Little Lantern Cafe
Number: RC-2507-5013
Desk organizer 3 8.96 26.88
Shipping labels 1 17.61 17.61
Archive folders 1 2.70 2.70
Granola cup 1 11.72 11.72
Herbal tea 4 16.00 64.00
Subtotal: 122.91
Tax: 0.00
Total: 122.91",Little Lantern Cafe,"88 Crescent Road, Pinecross, WA 98104",+1 555 513 6013,RC-2507-5013,2025-07-21,20:57,CASH,,Team B
RCT-0015,receipt,receipt_3,,,,,,,,,,USD,,53.72,,0.0,,,53.72,,,"Harbor Basket
Number: RC-2507-5014
Canvas tote 3 3.47 10.41
Desk organizer 1 10.03 10.03
Granola cup 1 16.38 16.38
Herbal tea 1 16.90 16.90
Subtotal: 53.72
Tax: 0.00
Total: 53.72",Harbor Basket,"203 Tide Street, Seacliff, CA 94016",+1 555 514 6014,RC-2507-5014,2025-07-09,08:54,VISA,6845,Team C
RCT-0016,receipt,receipt_4,,,,,,,,,,USD,,160.6,,0.0,,,160.6,,,"Cobalt Corner Shop
Number: RC-2501-5015
Shipping labels 1 11.77 11.77
Recycled notebooks 4 13.76 55.04
Coffee beans 4 11.22 44.88
Cable clips 4 8.91 35.64
Cleaning cloths 1 13.27 13.27
Subtotal: 160.60
Tax: 0.00
Total: 160.60",Cobalt Corner Shop,"39 Prism Avenue, Eastmere, IL 60607",+1 555 515 6015,RC-2501-5015,2025-01-30,19:26,VISA,4858,Team D
RCT-0017,receipt,receipt_1,,,,,,,,,,USD,,87.22,,0.0,,,87.22,,,"Morning Oak Market
Number: RC-2507-5016
Desk organizer 2 11.16 22.32
USB adapter 1 3.18 3.18
Cleaning cloths 4 8.72 34.88
Gel pen set 4 6.71 26.84
Subtotal: 87.22
Tax: 0.00
Total: 87.22",Morning Oak Market,"15 Orchard Way, Brookfield, VT 05036",+1 555 516 6016,RC-2507-5016,2025-07-03,08:55,CASH,,Team E
RCT-0018,receipt,receipt_2,,,,,,,,,,USD,,89.41,,4.47,,,93.88,,,"Little Lantern Cafe
Number: RC-2503-5017
Cable clips 1 4.37 4.37
Recycled notebooks 2 12.24 24.48
Canvas tote 4 8.25 33.00
Cleaning cloths 1 14.56 14.56
Gel pen set 4 3.25 13.00
Subtotal: 89.41
Tax: 4.47
Total: 93.88",Little Lantern Cafe,"88 Crescent Road, Pinecross, WA 98104",+1 555 517 6017,RC-2503-5017,2025-03-31,20:30,MASTERCARD,0424,Team F
RCT-0019,receipt,receipt_3,,,,,,,,,,USD,,111.58,,8.37,,,119.95,,,"Harbor Basket
Number: RC-2505-5018
Desk organizer 4 16.49 65.96
Cable clips 2 6.13 12.26
Granola cup 4 8.34 33.36
Subtotal: 111.58
Tax: 8.37
Total: 119.95",Harbor Basket,"203 Tide Street, Seacliff, CA 94016",+1 555 518 6018,RC-2505-5018,2025-05-21,10:36,VISA,3470,Team A
RCT-0020,receipt,receipt_4,,,,,,,,,,USD,,36.55,,2.74,,,39.29,,,"Cobalt Corner Shop
Number: RC-2501-5019
Desk organizer 1 9.20 9.20
Shipping labels 1 14.76 14.76
Canvas tote 1 12.59 12.59
Subtotal: 36.55
Tax: 2.74
Total: 39.29",Cobalt Corner Shop,"39 Prism Avenue, Eastmere, IL 60607",+1 555 519 6019,RC-2501-5019,2025-01-09,09:13,VISA,1790,Team B
RCT-0021,receipt,receipt_1,,,,,,,,,,USD,,40.67,,2.03,,,42.7,,,"Morning Oak Market
Number: RC-2504-5020
Desk organizer 1 11.48 11.48
Recycled notebooks 3 9.73 29.19
Subtotal: 40.67
Tax: 2.03
Total: 42.70",Morning Oak Market,"15 Orchard Way, Brookfield, VT 05036",+1 555 520 6020,RC-2504-5020,2025-04-17,10:40,MASTERCARD,9844,Team C
RCT-0022,receipt,receipt_2,,,,,,,,,,USD,,130.35,,9.78,,,140.13,,,"Little Lantern Cafe
Number: RC-2507-5021
Coffee beans 4 14.00 56.00
Gel pen set 3 15.50 46.50
Desk organizer 3 3.59 10.77
Canvas tote 2 8.54 17.08
Subtotal: 130.35
Tax: 9.78
Total: 140.13",Little Lantern Cafe,"88 Crescent Road, Pinecross, WA 98104",+1 555 521 6021,RC-2507-5021,2025-07-23,08:28,MASTERCARD,4494,Team D
RCT-0023,receipt,receipt_3,,,,,,,,,,USD,,163.49,,13.49,,,176.98,,,"Harbor Basket
Number: RC-2508-5022
Cable clips 3 14.29 42.87
Canvas tote 2 16.85 33.70
Gel pen set 4 9.11 36.44
Cleaning cloths 1 8.93 8.93
Coffee beans 3 13.85 41.55
Subtotal: 163.49
Tax: 13.49
Total: 176.98",Harbor Basket,"203 Tide Street, Seacliff, CA 94016",+1 555 522 6022,RC-2508-5022,2025-08-06,11:32,MASTERCARD,2878,Team E
RCT-0024,receipt,receipt_4,,,,,,,,,,USD,,102.27,,8.44,,,110.71,,,"Cobalt Corner Shop
Number: RC-2510-5023
Coffee beans 3 4.40 13.20
Desk organizer 1 9.29 9.29
Cleaning cloths 1 15.26 15.26
Gel pen set 4 16.13 64.52
Subtotal: 102.27
Tax: 8.44
Total: 110.71",Cobalt Corner Shop,"39 Prism Avenue, Eastmere, IL 60607",+1 555 523 6023,RC-2510-5023,2025-10-16,19:36,MASTERCARD,7702,Team F
RCT-0025,receipt,receipt_1,,,,,,,,,,USD,,114.09,,0.0,,,114.09,,,"Morning Oak Market
Number: RC-2501-5024
Archive folders 1 15.68 15.68
Granola cup 3 7.13 21.39
Coffee beans 2 10.86 21.72
Cleaning cloths 2 11.33 22.66
Shipping labels 4 8.16 32.64
Subtotal: 114.09
Tax: 0.00
Total: 114.09",Morning Oak Market,"15 Orchard Way, Brookfield, VT 05036",+1 555 524 6024,RC-2501-5024,2025-01-01,10:42,CASH,,Team A
RCT-0026,receipt,receipt_2,,,,,,,,,,USD,,47.88,,2.39,,,50.27,,,"Little Lantern Cafe
Number: RC-2511-5025
Herbal tea 4 5.42 21.68
Cable clips 2 13.10 26.20
Subtotal: 47.88
Tax: 2.39
Total: 50.27",Little Lantern Cafe,"88 Crescent Road, Pinecross, WA 98104",+1 555 525 6025,RC-2511-5025,2025-11-16,16:06,MASTERCARD,1358,Team B
RCT-0027,receipt,receipt_3,,,,,,,,,,USD,,102.55,,8.46,,,111.01,,,"Harbor Basket
Number: RC-2509-5026
USB adapter 3 11.73 35.19
Desk organizer 1 15.15 15.15
Recycled notebooks 4 3.95 15.80
Archive folders 3 8.52 25.56
Coffee beans 1 10.85 10.85
Subtotal: 102.55
Tax: 8.46
Total: 111.01",Harbor Basket,"203 Tide Street, Seacliff, CA 94016",+1 555 526 6026,RC-2509-5026,2025-09-03,12:36,VISA,1285,Team C
RCT-0028,receipt,receipt_4,,,,,,,,,,USD,,178.58,,13.39,,,191.97,,,"Cobalt Corner Shop
Number: RC-2510-5027
Coffee beans 2 9.08 18.16
Desk organizer 4 14.91 59.64
Cable clips 3 9.85 29.55
Herbal tea 2 8.96 17.92
Recycled notebooks 3 17.77 53.31
Subtotal: 178.58
Tax: 13.39
Total: 191.97",Cobalt Corner Shop,"39 Prism Avenue, Eastmere, IL 60607",+1 555 527 6027,RC-2510-5027,2025-10-25,09:31,MASTERCARD,7294,Team D
RCT-0029,receipt,receipt_1,,,,,,,,,,USD,,90.85,,4.54,,,95.39,,,"Morning Oak Market
Number: RC-2508-5028
Desk organizer 2 2.60 5.20
Cleaning cloths 1 8.95 8.95
Gel pen set 4 12.70 50.80
Cable clips 2 12.95 25.90
Subtotal: 90.85
Tax: 4.54
Total: 95.39",Morning Oak Market,"15 Orchard Way, Brookfield, VT 05036",+1 555 528 6028,RC-2508-5028,2025-08-13,17:59,CASH,,Team E
RCT-0030,receipt,receipt_2,,,,,,,,,,USD,,79.01,,0.0,,,79.01,,,"Little Lantern Cafe
Number: RC-2505-5029
Gel pen set 4 5.87 23.48
Desk organizer 2 17.56 35.12
Granola cup 1 10.45 10.45
Coffee beans 2 4.98 9.96
Subtotal: 79.01
Tax: 0.00
Total: 79.01",Little Lantern Cafe,"88 Crescent Road, Pinecross, WA 98104",+1 555 529 6029,RC-2505-5029,2025-05-05,10:30,CASH,,Team F
